Code,Coding_term,Indicator_code,Indicator_specific,Indicator_1,Indicator_2,Domain,code_original,Severity,cut_off,scale,Reference_std,individual,system,SNOMED_CT_ID,SNOMED_CT_Des_ID,icd11
T739,"Effect of deprivation, unspecified",AFE12,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,T739,"","","","",3,ICD-10,,,NF07.Z
T73,Effects of other deprivation,AFE12,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,T73,"","","","",3,ICD-10,,,NF07.Z
Z595,Extreme poverty,AFE12,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,Z595,"","","",2,3,ICD-10,,,QD50
Z596,Low income,AFE12,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,Z596,"","","","",3,ICD-10,,,QD51
T738,Other effects of deprivation,AFE12,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,T738,"","","","",3,ICD-10,,,NF07.Z
T730,Effects of hunger,HPRCM8,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Failure to thrive (excessive thirst, suspected malnutrition)",Potential failure to provide,HRP-CM,T730,"","","","",1,ICD-10,,,NF07.0
T731,Effects of thirst,HPRCM8,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Failure to thrive (excessive thirst, suspected malnutrition)",Potential failure to provide,HRP-CM,T731,"","","","",1,ICD-10,,,NF07.1
T733,Exhaustion due to excessive exertion,HPRCM8,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Failure to thrive (excessive thirst, suspected malnutrition)",Potential failure to provide,HRP-CM,T733,"","","","",1,ICD-10,,,NF06.Z
T732,Exhaustion due to exposure,HPRCM8,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Failure to thrive (excessive thirst, suspected malnutrition)",Potential failure to provide,HRP-CM,T732,"","","","",1,ICD-10,,,NF07.2
Z594,Lack of adequate food,HPRCM8,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Failure to thrive (excessive thirst, suspected malnutrition)",Potential failure to provide,HRP-CM,Z594,"","","","",1,ICD-10,,,QD61
