code	term	Indicator	Indicator 2	Indicator 3	domain	severity	scale	reference standard	coding system	individual
261	[X]Assault	Assault NOS IV GP	Assault NOS IV GP	Assault NOS IV GP	Adverse family environment				read	2
10193	CPA care planning	CPA	CPA	CPA	Adverse family environment				read	3
107259	Initial CPA review	CPA	CPA	CPA	Adverse family environment				read	3
103896	Mental health CPA contingency plan available	CPA	CPA	CPA	Adverse family environment				read	3
98919	Mental health CPA crisis plan available	CPA	CPA	CPA	Adverse family environment				read	3
106715	Ongoing CPA review	CPA	CPA	CPA	Adverse family environment				read	3
9677	CPA assessment	CPA	CPA	CPA	Adverse family environment				read	3
9390	CPA key worker	CPA	CPA	CPA	Adverse family environment				read	3
107094	Discharge CPA review	CPA	CPA	CPA	Adverse family environment				read	3
1650	Stress at home	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment			4	read	3
1650	Stress at home	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	1
1602	Family problems	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	3
7840	Unable to cope	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	2
2326	Family disruption NOS	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment			2	read	3
19487	Family circumstance NOS	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	3
4149	Poor family relationship	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	3
9455	Unable to cope	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment			2	read	2
18560	Disturbed childhood	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	1
27432	Unhappy home	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	3
7774	Family counselling	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	3
16817	Disturbance of emotion specific to childhood and adolescence	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	1
28409	Involving family and friends in care	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	3
22184	[V]Family disruption	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	3
3501	Disturbed family	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	3
20975	Child relationship problem	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	3
21107	[V]Potential health hazards related to family history (FH)	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	3
30319	Unhappy childhood	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	1
25718	Family counselling	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment			2	read	3
52848	[X]Other stressful life events affecting family & household	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	3
19659	[V]Potential health hazards related to family history (FH)	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	3
25074	Unhappiness of childhood or adolescence	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment			2	read	1
41201	[V]Atypical parenting situation	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment			2	read	3
21222	Misery of childhood or adolescence	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	1
43148	Appeals tribunal member	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	3
40306	[V]Inadequate family support	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment			2	read	3
61806	Family counselled	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	3
108903	Referral to children and families service	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	3
60554	Childhood and adolescent sensitivity disturbance NOS	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	1
27758	Childhood and adolescence disturbance of unhappiness	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	1
109913	Discussion about family wellbeing	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	3
37114	[V]Altered pattern of family relationships in childhood	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	3
39480	[X]Other childhood disorders of social functioning	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	1
93377	Child is unhappy at home	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	1
44194	Childhood and adolescent disturbance with sensitivity	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	1
56465	Childhood and adolescent disturbance with elective mutism	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	1
43867	Family relations test	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment		1		read	3
71533	Appeals tribunal member	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	3
72484	Appeals tribunal chairman	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	3
99805	Frequent changes of school	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	3
107538	Functional Family Therapy	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	3
108203	Attends parent support group	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	3
56340	Personal network therapy	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	3
102425	Member of reconstituted family	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				read	3
Z551	Schooling unavailable and unattainable	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				ICD-10	1
Z600	Problems of adjustment to life-cycle transitions	Family disruption NOS	Family disruption NOS	Family disruption NOS	Adverse family environment				ICD-10	3
