medcode,Coding_term,Indicator_code,Indicator_specific,Indicator_1,Indicator_2,Domain,readcode_gemscript,Severity,cut_off,scale,Reference_std,individual,system
13308,A/N care: social risk,AFE1,High-risk antenatal presentation (social risk specific),"High-risk antenatal presentation, social-risk specific",Antenatal care & health visiting concerns,AFE,625..00,"","","","",3,read
32668,[V]Personal history of psychological trauma,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,ZV15400,"","","","",1,read
28055,[V]Problems related to negative life events in childhood,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,ZV4G.00,"","","","",1,read
35845,[V]Other problems related to upbringing,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,ZV4H.00,"","","","",1,read
33487,[V]Personal frightening experience in childhood,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,ZV4G600,"","","","",1,read
43609,[V]Events resulting in loss of self-esteem in childhood,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,ZV4G300,"","","","",1,read
65837,[V]Other negative life events in childhood,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,ZV4Gy00,"","","","",1,read
64330,[V]Other specified problems related to upbringing,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,ZV4Hy00,"","","","",1,read
94281,[X]Other negative life events in childhood,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,ZVu4A00,"","","","",1,read
107227,"[X]Negative life event in childhood, unspecified",AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,ZVu4J00,"","","","",1,read
109444,[X]Other specified problems related to upbringing,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,ZVu4D00,"","","","",1,read
Z612,Altered pattern of family relationships in childhood,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",1,ICD-10
Z613,Events resulting in loss of self-esteem in childhood,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",1,ICD-10
Z610,Loss of love relationship in childhood,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",1,ICD-10
Z619,"Negative life event in childhood, unspecified",AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",1,ICD-10
Z618,Other negative life events in childhood,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",1,ICD-10
Z62,Other problems related to upbringing,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",1,ICD-10
Z628,Other specified problems related to upbringing,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",1,ICD-10
Z637,Other stressful life events affecting family and household,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",3,ICD-10
Z62898,Other specified problems related to upbringing,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",1,ICD-10
Z617,Personal frightening experience in childhood,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",1,ICD-10
Z916,Personal history of other physical trauma,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",3,ICD-10
Z914,"Personal history of psychological trauma, not elsewhere classified",AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",1,ICD-10
Z629,"Problem related to upbringing, unspecified",AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",1,ICD-10
Z61,Problems related to negative life events in childhood,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",1,ICD-10
8758,Life crisis,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,1BE..00,"","","","",1,read
30261,Life crisis NOS,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,1BEZ.00,"","","","",1,read
