medcode,Coding_term,Indicator_code,Indicator_specific,Indicator_1,Indicator_2,Domain,readcode_gemscript,Severity,cut_off,scale,Reference_std,individual,system
Z612,Altered pattern of family relationships in childhood,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",1,ICD-10
Z613,Events resulting in loss of self-esteem in childhood,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",1,ICD-10
Z610,Loss of love relationship in childhood,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",1,ICD-10
Z619,"Negative life event in childhood, unspecified",AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",1,ICD-10
Z618,Other negative life events in childhood,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",1,ICD-10
Z62,Other problems related to upbringing,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",1,ICD-10
Z628,Other specified problems related to upbringing,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",1,ICD-10
Z637,Other stressful life events affecting family and household,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",3,ICD-10
Z62898,Other specified problems related to upbringing,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",1,ICD-10
Z617,Personal frightening experience in childhood,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",1,ICD-10
Z916,Personal history of other physical trauma,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",3,ICD-10
Z914,"Personal history of psychological trauma, not elsewhere classified",AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",1,ICD-10
Z629,"Problem related to upbringing, unspecified",AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",1,ICD-10
Z61,Problems related to negative life events in childhood,AFE10,Problems related to negative childhood events,Problems related to negative childhood events,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",1,ICD-10
Z591,Inadequate housing,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,"","","","","",3,ICD-10
Z598,Other problems related to housing and economic circumstances,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,"","","","","",3,ICD-10
Z599,"Problem related to housing and economic circumstances, unspecified",AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,"","","","","",3,ICD-10
Z59,Problems related to housing and economic circumstances,AFE12,Housing problems incl. refugees,"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,"","","","","",3,ICD-10
Z590,Homelessness,AFE13,Homelessness,Homelessness (child/mother),Vulnerable families,AFE,"","","","","",3,ICD-10
Z742,Need for assistance at home and no other household member able to render care,AFE17,Parental problems with daily living/Limited capacity to work,Maternal problems with daily living/limited capacity to work (incl. financial concerns),Vulnerable families,AFE,"","","","","",2,ICD-10
Z740,Need for assistance due to reduced mobility,AFE17,Parental problems with daily living/Limited capacity to work,Maternal problems with daily living/limited capacity to work (incl. financial concerns),Vulnerable families,AFE,"","","","","",2,ICD-10
Z741,Need for assistance with personal care,AFE17,Parental problems with daily living/Limited capacity to work,Maternal problems with daily living/limited capacity to work (incl. financial concerns),Vulnerable families,AFE,"","","","","",2,ICD-10
Z739,"Problem related to life-management difficulty, unspecified",AFE17,Parental problems with daily living/Limited capacity to work,Maternal problems with daily living/limited capacity to work (incl. financial concerns),Vulnerable families,AFE,"","","","","",2,ICD-10
T75,Effects of other external causes,AFE18,Problems related to psychosocial circumstances,Problems related to psychosocial circumstances,Vulnerable families,AFE,"","","","","",3,ICD-10
Z608,Other problems related to social environment,AFE18,Problems related to psychosocial circumstances,Problems related to psychosocial circumstances,Vulnerable families,AFE,"","","","","",3,ICD-10
Z658,Other specified problems related to psychosocial circumstances,AFE18,Problems related to psychosocial circumstances,Problems related to psychosocial circumstances,Vulnerable families,AFE,"","","","","",3,ICD-10
Z659,Problem related to unspecified psychosocial circumstances,AFE18,Problems related to psychosocial circumstances,Problems related to psychosocial circumstances,Vulnerable families,AFE,"","","","","",3,ICD-10
Z64,Problems related to certain psychosocial circumstances,AFE18,Problems related to psychosocial circumstances,Problems related to psychosocial circumstances,Vulnerable families,AFE,"","","","","",3,ICD-10
Z65,Problems related to other psychosocial circumstances,AFE18,Problems related to psychosocial circumstances,Problems related to psychosocial circumstances,Vulnerable families,AFE,"","","","","",3,ICD-10
Z60,Problems related to social environment,AFE18,Problems related to psychosocial circumstances,Problems related to psychosocial circumstances,Vulnerable families,AFE,"","","","","",3,ICD-10
Z604,Social exclusion and rejection,AFE18,Problems related to psychosocial circumstances,Problems related to psychosocial circumstances,Vulnerable families,AFE,"","","","","",3,ICD-10
Z357,Supervision of high-risk pregnancy due to social problems,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,"","","","",2,3,ICD-10
Z353,Supervision of pregnancy with history of insufficient antenatal care,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,"","","","","",3,ICD-10
O0971,Supervisionofhighriskpregnancyduetosocialproblemsfirsttrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,"","","","","",2,ICD-10
O0972,Supervisionofhighriskpregnancyduetosocialproblemssecondtrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,"","","","","",2,ICD-10
O0973,Supervisionofhighriskpregnancyduetosocialproblemsthirdtrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,"","","","","",2,ICD-10
O0970,Supervisionofhighriskpregnancyduetosocialproblemsunspecifiedtrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,"","","","","",2,ICD-10
O0991,Supervisionofhighriskpregnancyunspecifiedfirsttrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,"","","","","",2,ICD-10
O0992,Supervisionofhighriskpregnancyunspecifiedsecondtrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,"","","","","",2,ICD-10
O0993,Supervisionofhighriskpregnancyunspecifiedthirdtrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,"","","","","",2,ICD-10
O0990,Supervisionofhighriskpregnancyunspecifiedunspecifiedtrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,"","","","","",2,ICD-10
O09891,Supervisionofotherhighriskpregnanciesfirsttrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,"","","","","",2,ICD-10
O09892,Supervisionofotherhighriskpregnanciessecondtrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,"","","","","",2,ICD-10
O09893,Supervisionofotherhighriskpregnanciesthirdtrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,"","","","","",2,ICD-10
O09899,Supervisionofotherhighriskpregnanciesunspecifiedtrimester,AFE2,High-risk antenatal presentation,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,"","","","","",2,ICD-10
Z356,Supervision of very young primigravida,AFE2,Supervision of very young primigravida,"High-risk antenatal presentation, psychosocial NOS",Antenatal care & health visiting concerns,AFE,"","","","","",2,ICD-10
O045,Medical abortion,AFE3,Abortion,Unwanted/concealed pregnancy incl. attempted abortion of the current child,Antenatal care & health visiting concerns,AFE,"","","",Within pregnancy period of born child,"",2,ICD-10
O046,Medical abortion,AFE3,Abortion,Unwanted/concealed pregnancy incl. attempted abortion of the current child,Antenatal care & health visiting concerns,AFE,"","","",Within pregnancy period of born child,"",2,ICD-10
Z640,Problems related to unwanted pregnancy,AFE3,Unwanted/concealed pregnancy,Unwanted/concealed pregnancy incl. attempted abortion of the current child,Antenatal care & health visiting concerns,AFE,"","","","","",1,ICD-10
Z640,Problems related to unwanted pregnancy,AFE3,Unwanted/concealed pregnancy,Unwanted/concealed pregnancy incl. attempted abortion of the current child,Antenatal care & health visiting concerns,AFE,"","","",Within pregnancy period of born child,"",2,ICD-10
Z56,Problems related to employment and unemployment,AFE6,Parental unemployment,Family disruptions and parental conflicts NOS,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",2,ICD-10
Z560,"Unemployment, unspecified",AFE6,Parental unemployment,Family disruptions and parental conflicts NOS,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",2,ICD-10
Z633,Absence of family member,AFE6,Family disruption NOS,Family disruptions and parental conflicts NOS,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","",2,3,ICD-10
Z601,Atypical parenting situation,AFE6,Family disruption NOS,Family disruptions and parental conflicts NOS,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",3,ICD-10
Z634,Disappearance and death of family member,AFE6,Family disruption NOS,Family disruptions and parental conflicts NOS,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",3,ICD-10
Z635,Disruption of family by separation and divorce,AFE6,Family disruption NOS,Family disruptions and parental conflicts NOS,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","",2,3,ICD-10
Z600,Problems of adjustment to life-cycle transitions,AFE6,Family disruption NOS,Family disruptions and parental conflicts NOS,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",3,ICD-10
Z551,Schooling unavailable and unattainable,AFE6,Family disruption NOS,Family disruptions and parental conflicts NOS,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",1,ICD-10
Z592,"Discord with neighbours, lodgers and landlord",AFE6,Family disruption NOS,Family disruptions and parental conflicts NOS,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",3,ICD-10
Z631,Problems in relationship with parents and in-laws,AFE6,Parental conflict/relationship problems,Family disruptions and parental conflicts NOS,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",2,ICD-10
Z630,Problems in relationship with spouse or partner,AFE6,Parental conflict/relationship problems,Family disruptions and parental conflicts NOS,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","",2,2,ICD-10
Z653,Problems related to other legal circumstances,AFE8,Parental legal problems,Mother with legal problems,"Parental conflicts, disruptions and causes for concerns",AFE,"","","","",2,2,ICD-10
Z040,Blood-alcohol and blood-drug test,AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",1,ICD-10
Z702,Counselling related to sexual behaviour and orientation of third party,AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",2,ICD-10
Z636,Dependent relative needing care at home,AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",1,ICD-10
Z644,Discord with counsellors,AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",3,ICD-10
Z048,Examination and observation for other specified reasons,AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",1,ICD-10
Z726,Gambling and betting,AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",1,ICD-10
Z761,Health supervision and care of foundling,AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",3,ICD-10
R455,Hostility,AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,"","","","","",2,ICD-10
Z632,Inadequate family support,AFE9,Family is cause for concern,"Family is cause for concern (incl. maternal FGM, current rec. historic event)","Parental conflicts, disruptions and causes for concerns",AFE,"","","","",2,1,ICD-10
