Code_ready_CPRDGOLD_HES_ONS,Coding_term,ACE_indicator_code,ACE_indicator_specific,ACE_indicator_1,ACE_indicator_2,ACE_domain,code_original,Severity,cut_off,scale,Reference_std,individual,system
25033,Child/parent violence,CM2,Physical or sexual abuse,"CM NOS, incl. physical or sexual abuse",CM,CM,13W4000,"","","",1,3,read
25033,Child/parent violence,mIPV3,Parental domestic violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,13W4000,"","","",2,2,read
10330,Alcoholic spouse,MSM4,Family substance misuse,Family substance misuse (i.e. unspecified family member),Substance misuse,MSM,13L3.11,Moderate,"","","",2,read
15404,Husband alcoholic,MSM4,Family substance misuse,Family substance misuse (i.e. unspecified family member),Substance misuse,MSM,13L3.13,Moderate,"","","",2,read
T739,"Effect of deprivation, unspecified",AFE12,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,T739,"","","","",3,ICD-10
T73,Effects of other deprivation,AFE12,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,T73,"","","","",3,ICD-10
Z595,Extreme poverty,AFE12,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,Z595,"","","",2,3,ICD-10
Z596,Low income,AFE12,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,Z596,"","","","",3,ICD-10
T738,Other effects of deprivation,AFE12,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Housing problems, effects of deprivation and refugee (excl. homelessness)",Vulnerable families,AFE,T738,"","","","",3,ICD-10
T730,Effects of hunger,HPRCM8,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Failure to thrive (excessive thirst, suspected malnutrition)",Potential failure to provide,HRP-CM,T730,"","","","",1,ICD-10
T731,Effects of thirst,HPRCM8,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Failure to thrive (excessive thirst, suspected malnutrition)",Potential failure to provide,HRP-CM,T731,"","","","",1,ICD-10
T733,Exhaustion due to excessive exertion,HPRCM8,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Failure to thrive (excessive thirst, suspected malnutrition)",Potential failure to provide,HRP-CM,T733,"","","","",1,ICD-10
T732,Exhaustion due to exposure,HPRCM8,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Failure to thrive (excessive thirst, suspected malnutrition)",Potential failure to provide,HRP-CM,T732,"","","","",1,ICD-10
Z594,Lack of adequate food,HPRCM8,Severe signs of deprivation or potential malnutrition (incl. lack of food/water),"Failure to thrive (excessive thirst, suspected malnutrition)",Potential failure to provide,HRP-CM,Z594,"","","","",1,ICD-10
