code	coding term	Indicator 1	Indicator 2	Exclusion_domain	severity	scale	system
384	Fall - accidental	Accident	Accident	Accident			read
6815	Accidental falls	Accident	Accident	Accident			read
6835	Accidental falls NOS	Accident	Accident	Accident			read
21018	Accidents NOS	Accident	Accident	Accident			read
2757	Accident caused by needle	Accident	Accident	Accident			read
16549	Accidental wound NOS	Accident	Accident	Accident			read
8903	Accident caused by plant thorn	Accident	Accident	Accident			read
39267	"Place of occurrence of accident or poisoning, state school"	Accident	Accident	Accident			read
7220	[V]Observation following accident at work	Accident	Accident	Accident			read
17049	Accident caused by nail	Accident	Accident	Accident			read
9664	Accidental electric shock NOS	Accident	Accident	Accident			read
55562	Fall on same level- collision/push/shove by/with oth person	Accident	Accident	Accident			read
35822	Accidental cut/puncture/perf/haemorrhage during venepuncture	Accident	Accident	Accident			read
20651	Riding accident NOS	Accident	Accident	Accident			read
30064	Accidental electrocution NOS	Accident	Accident	Accident			read
30030	[X]Sequelae of other accidents	Accident	Accident	Accident			read
23475	Accidental organ perforation during a procedure	Accident	Accident	Accident			read
59597	Accident caused by other hand tools and implements	Accident	Accident	Accident			read
36049	Accident caused by splinter	Accident	Accident	Accident			read
31649	Accident caused by welding torch	Accident	Accident	Accident			read
28397	Accidental laceration during procedure	Accident	Accident	Accident			read
40465	Accidental bladder perforation during operation	Accident	Accident	Accident			read
38707	Accident caused by powered lawn mower	Accident	Accident	Accident			read
40713	Accident caused by farm tractor	Accident	Accident	Accident			read
44741	[X]Accidental exposure to other and unspecified factors	Accident	Accident	Accident			read
53672	Accident caused by forklift truck	Accident	Accident	Accident			read
44745	Accidents caused by machinery	Accident	Accident	Accident			read
30115	Accident caused by domestic electric current	Accident	Accident	Accident			read
43343	Accidental laceration during a procedure	Accident	Accident	Accident			read
41603	Accident caused by dart	Accident	Accident	Accident			read
29967	Accident caused by scissors	Accident	Accident	Accident			read
8494	Accident caused by powered saw	Accident	Accident	Accident			read
