code	coding term	Indicator 1	Indicator 2	Exclusion_domain	severity	scale	system
15461	Cephalhaematoma due to birth trauma	Birth injury	Birth injury	Birth injury			read
3139	Birth plexus inj - Erb-Duchenne	Birth injury	Birth injury	Birth injury			read
15494	Birth trauma	Birth injury	Birth injury	Birth injury			read
26067	Facial nerve palsy due to birth trauma	Birth injury	Birth injury	Birth injury			read
40124	Fracture of clavicle due to birth trauma	Birth injury	Birth injury	Birth injury			read
31885	H/O: birth trauma	Birth injury	Birth injury	Birth injury	History		read
5629	Birth injury NOS	Birth injury	Birth injury	Birth injury			read
18969	Brachial plexus palsy due to birth trauma	Birth injury	Birth injury	Birth injury			read
43595	"Birth trauma, asphyxia and hypoxia"	Birth injury	Birth injury	Birth injury			read
16958	H/O: birth injury	Birth injury	Birth injury	Birth injury	History		read
38330	Brain injury due to birth trauma NOS	Birth injury	Birth injury	Birth injury			read
28512	Caput succedaneum due to birth trauma	Birth injury	Birth injury	Birth injury			read
23447	"Cerebral haemorrhage unspecified, due to birth trauma"	Birth injury	Birth injury	Birth injury			read
40375	Subcutaneous fat necrosis due to birth injury	Birth injury	Birth injury	Birth injury			read
42944	Torticollis due to birth injury	Birth injury	Birth injury	Birth injury			read
55879	"Birth trauma, asphyxia or hypoxia NOS"	Birth injury	Birth injury	Birth injury			read
45575	Fracture of humerus due to birth trauma	Birth injury	Birth injury	Birth injury			read
22096	Scalp injuries due to birth trauma	Birth injury	Birth injury	Birth injury			read
46344	Birth injury to face	Birth injury	Birth injury	Birth injury			read
34694	Subdural and cerebral haemorrhage due to birth trauma	Birth injury	Birth injury	Birth injury			read
34503	Other dislocation or subluxation due to birth trauma	Birth injury	Birth injury	Birth injury			read
45847	Fracture of radius or ulna due to birth trauma	Birth injury	Birth injury	Birth injury			read
62354	Fracture of tibia or fibula due to birth trauma	Birth injury	Birth injury	Birth injury			read
37246	Birth plexus injury - Klumpke-Dejerine	Birth injury	Birth injury	Birth injury			read
39321	Fracture of nose due to birth trauma	Birth injury	Birth injury	Birth injury			read
45417	Sternomastoid injury due to birth injury	Birth injury	Birth injury	Birth injury			read
49363	"Subdural haemorrhage unspecified, due to birth trauma"	Birth injury	Birth injury	Birth injury			read
66818	"Other specified birth trauma, asphyxia or hypoxia"	Birth injury	Birth injury	Birth injury			read
38164	Cerebral injury due to birth trauma	Birth injury	Birth injury	Birth injury			read
45942	Dis of the skin and subcut tis comp preg childbrth puerp	Birth injury	Birth injury	Birth injury			read
42755	Spinal/epidural anesth-induced headache dur labour/delivery	Birth injury	Birth injury	Birth injury			read
45859	Birth fracture of radius	Birth injury	Birth injury	Birth injury			read
46446	Local subdural haematoma due to birth trauma	Birth injury	Birth injury	Birth injury			read
66527	Other specified birth trauma NOS	Birth injury	Birth injury	Birth injury			read
54567	Fracture of skull due to birth trauma	Birth injury	Birth injury	Birth injury			read
12001	Other birth fracture	Birth injury	Birth injury	Birth injury			read
57771	Intraventricular haemorrhage due to birth injury	Birth injury	Birth injury	Birth injury			read
56403	Birth injury to phrenic nerve	Birth injury	Birth injury	Birth injury			read
50553	Fracture of femur due to birth trauma	Birth injury	Birth injury	Birth injury			read
67184	Subdural or cerebral haemorrhage due to birth trauma NOS	Birth injury	Birth injury	Birth injury			read
71531	Other specified skeleton injury due to birth trauma	Birth injury	Birth injury	Birth injury			read
61682	Cerebral oedema due to birth injury	Birth injury	Birth injury	Birth injury			read
35174	Eye damage due to birth trauma	Birth injury	Birth injury	Birth injury			read
31857	Spine or spinal cord injury due to birth trauma	Birth injury	Birth injury	Birth injury			read
48731	Cerebral haemorrhage due to birth injury	Birth injury	Birth injury	Birth injury			read
71911	Brachial plexus palsy due to birth trauma NOS	Birth injury	Birth injury	Birth injury			read
36208	Birth plexus injury - whole plexus	Birth injury	Birth injury	Birth injury			read
40328	"Brachial palsy unspecified, due to birth trauma"	Birth injury	Birth injury	Birth injury			read
58978	Other specified birth trauma	Birth injury	Birth injury	Birth injury			read
101355	Subconjunctival haemorrhage due to birth trauma	Birth injury	Birth injury	Birth injury			read
49220	Fracture due to birth trauma NEC	Birth injury	Birth injury	Birth injury			read
54326	"Scalp bruising, due to birth trauma"	Birth injury	Birth injury	Birth injury			read
70312	Tentorial tear due to birth trauma	Birth injury	Birth injury	Birth injury			read
72349	Other skeleton injury due to birth trauma	Birth injury	Birth injury	Birth injury			read
23890	Peripheral nerve injury due to birth trauma	Birth injury	Birth injury	Birth injury			read
68935	Bruising of scalp due to birth injury	Birth injury	Birth injury	Birth injury			read
93915	Birth fracture of ulna	Birth injury	Birth injury	Birth injury			read
47690	Other fractures due to birth trauma	Birth injury	Birth injury	Birth injury			read
57669	Scalpel wound due to birth trauma	Birth injury	Birth injury	Birth injury			read
63806	Subdural or cerebral haemorrhage due to birth trauma OS	Birth injury	Birth injury	Birth injury			read
103227	Other cranial or peripheral nerve palsy due to birth trauma	Birth injury	Birth injury	Birth injury			read
65447	Scalp abrasions due to birth trauma	Birth injury	Birth injury	Birth injury			read
67467	Other specified scalp injury due to birth trauma	Birth injury	Birth injury	Birth injury			read
102266	"Scalp injury due to birth trauma, NOS"	Birth injury	Birth injury	Birth injury			read
55146	Spleen rupture due to birth trauma	Birth injury	Birth injury	Birth injury			read
63360	Subarachnoid haemorrhage due to birth injury	Birth injury	Birth injury	Birth injury			read
65034	[X]Other birth injuries to scalp	Birth injury	Birth injury	Birth injury			read
72399	Cranial nerve injury due to birth trauma	Birth injury	Birth injury	Birth injury			read
92241	Laryngeal injury due to birth trauma	Birth injury	Birth injury	Birth injury			read
101243	Spine dislocation due to birth trauma	Birth injury	Birth injury	Birth injury			read
104636	Massive epicranial subaponeurotic haemorrhage-birth trauma	Birth injury	Birth injury	Birth injury			read
106712	[X]Other specified birth injuries	Birth injury	Birth injury	Birth injury			read
108601	Liver subcapsular haematoma due to birth trauma	Birth injury	Birth injury	Birth injury			read
67265	Testicular haematoma due to birth trauma	Birth injury	Birth injury	Birth injury			read
71125	Other specified brachial plexus palsy due to birth trauma	Birth injury	Birth injury	Birth injury			read
94732	Cranial or peripheral nerve palsy due to birth trauma NOS	Birth injury	Birth injury	Birth injury			read
99704	Traumatic glaucoma due to birth trauma	Birth injury	Birth injury	Birth injury			read
99893	Trunk injury NEC due to birth trauma	Birth injury	Birth injury	Birth injury			read
100378	Spine or spinal cord injury due to birth trauma NOS	Birth injury	Birth injury	Birth injury			read
101601	Post-birth injury panhypopituitarism	Birth injury	Birth injury	Birth injury			read
104183	Spine fracture due to birth trauma	Birth injury	Birth injury	Birth injury			read
110910	[X]Other specified brain damage due to birth injury	Birth injury	Birth injury	Birth injury			read
112248	[X]Oth intracranial laceratns+haemorrhages due/birth injury	Birth injury	Birth injury	Birth injury			read
O294	Spinal and epidural anaesthesia-induced headache during pregnancy	Birth injury	Birth injury	Birth injury			ICD-10
O640	Obstructed labour due to incomplete rotation of fetal head	Birth injury	Birth injury	Birth injury			ICD-10
O745	Spinal and epidural anaesthesia-induced headache during labour and delivery	Birth injury	Birth injury	Birth injury			ICD-10
P10	Intracranial laceration and haemorrhage due to birth injury	Birth injury	Birth injury	Birth injury			ICD-10
P101	Cerebral haemorrhage due to birth injury	Birth injury	Birth injury	Birth injury			ICD-10
P102	Intraventricular haemorrhage due to birth injury	Birth injury	Birth injury	Birth injury			ICD-10
P103	Subarachnoid haemorrhage due to birth injury	Birth injury	Birth injury	Birth injury			ICD-10
P104	Tentorial tear due to birth injury	Birth injury	Birth injury	Birth injury			ICD-10
P108	Other intracranial lacerations and haemorrhages due to birth injury	Birth injury	Birth injury	Birth injury			ICD-10
P109	Unspecified intracranial laceration and haemorrhage due to birth injury	Birth injury	Birth injury	Birth injury			ICD-10
P11	Other birth injuries to central nervous system	Birth injury	Birth injury	Birth injury			ICD-10
P110	Cerebral oedema due to birth injury	Birth injury	Birth injury	Birth injury			ICD-10
P111	Other specified brain damage due to birth injury	Birth injury	Birth injury	Birth injury			ICD-10
P112	Unspecified brain damage due to birth injury	Birth injury	Birth injury	Birth injury			ICD-10
P113	Birth injury to facial nerve	Birth injury	Birth injury	Birth injury			ICD-10
P114	Birth injury to other cranial nerves	Birth injury	Birth injury	Birth injury			ICD-10
P115	Birth injury to spine and spinal cord	Birth injury	Birth injury	Birth injury			ICD-10
P12	Birth injury to scalp	Birth injury	Birth injury	Birth injury			ICD-10
P120	Cephalhaematoma due to birth injury	Birth injury	Birth injury	Birth injury			ICD-10
P121	Chignon due to birth injury	Birth injury	Birth injury	Birth injury			ICD-10
P122	Epicranial subaponeurotic haemorrhage due to birth injury	Birth injury	Birth injury	Birth injury			ICD-10
P123	Bruising of scalp due to birth injury	Birth injury	Birth injury	Birth injury			ICD-10
P128	Other birth injuries to scalp	Birth injury	Birth injury	Birth injury			ICD-10
P129	"Birth injury to scalp, unspecified"	Birth injury	Birth injury	Birth injury			ICD-10
P13	Birth injury to skeleton	Birth injury	Birth injury	Birth injury			ICD-10
P130	Fracture of skull due to birth injury	Birth injury	Birth injury	Birth injury			ICD-10
P131	Other birth injuries to skull	Birth injury	Birth injury	Birth injury			ICD-10
P132	Birth injury to femur	Birth injury	Birth injury	Birth injury			ICD-10
P133	Birth injury to other long bones	Birth injury	Birth injury	Birth injury			ICD-10
P134	Fracture of clavicle due to birth injury	Birth injury	Birth injury	Birth injury			ICD-10
