Code,Coding_term,Indicator_code,Indicator_specific,Indicator_1,Indicator_2,Domain,code_original,Severity,cut_off,scale,Reference_std,individual,system
25033,Child/parent violence,CM2,Physical or sexual abuse,"CM NOS, incl. physical or sexual abuse",CM,CM,13W4000,"","","",1,3,read
Y072,By acquaintance or friend,CM2,Child maltreatment NOS,"CM NOS, incl. physical or sexual abuse",CM,CM,Y072,"","","",1,1,ICD-10
Y073,By official authorities,CM2,Child maltreatment NOS,"CM NOS, incl. physical or sexual abuse",CM,CM,Y073,"","","",1,1,ICD-10
Y078,By other specified persons,CM2,Child maltreatment NOS,"CM NOS, incl. physical or sexual abuse",CM,CM,Y078,"","","",1,1,ICD-10
Y071,By parent,CM2,Child maltreatment NOS,"CM NOS, incl. physical or sexual abuse",CM,CM,Y071,"","","",1,1,ICD-10
Y070,By spouse or partner,CM2,Child maltreatment NOS,"CM NOS, incl. physical or sexual abuse",CM,CM,Y070,"","","",1,1,ICD-10
T749,"Maltreatment syndrome, unspecified",CM2,Child maltreatment NOS,"CM NOS, incl. physical or sexual abuse",CM,CM,T749,"","","",1,1,ICD-10
T74,Maltreatment syndromes,CM2,Child maltreatment NOS,"CM NOS, incl. physical or sexual abuse",CM,CM,T74,"","","",1,1,ICD-10
Y07,Other maltreatment,CM2,Child maltreatment NOS,"CM NOS, incl. physical or sexual abuse",CM,CM,Y07,"","","",1,1,ICD-10
T748,Other maltreatment syndromes,CM2,Child maltreatment NOS,"CM NOS, incl. physical or sexual abuse",CM,CM,T748,"","","",1,1,ICD-10
Z918,"Personal history of other specified risk-factors, not elsewhere classified",CM2,Child maltreatment NOS,"CM NOS, incl. physical or sexual abuse",CM,CM,Z918,"","","",1,1,ICD-10
Z62819,Personalhistoryofunspecifiedabuseinchildhood,CM2,Child maltreatment NOS,"CM NOS, incl. physical or sexual abuse",CM,CM,Z62819,"","","",1,1,ICD-10
p_P072,Deinfibulation of vulva,CM2,Physical or sexual abuse,"CM NOS, incl. physical or sexual abuse",CM,CM,P072,"","","",1,1,OPCS-4
p_R272,Deinfibulation of vulva to facilitate delivery,CM2,Physical or sexual abuse,"CM NOS, incl. physical or sexual abuse",CM,CM,R272,"","","",1,1,OPCS-4
Z917,Personal history of female genital mutilation,CM2,Physical or sexual abuse,"CM NOS, incl. physical or sexual abuse",CM,CM,Z917,"","","",1,1,ICD-10
Z62813,Personal history of forced labor or sexual exploitation in childhood,CM2,Physical or sexual abuse,"CM NOS, incl. physical or sexual abuse",CM,CM,Z62813,"","","",1,1,ICD-10
Z62810,Personal history of physical and sexual abuse in childhood,CM2,Physical or sexual abuse,"CM NOS, incl. physical or sexual abuse",CM,CM,Z62810,"","","",1,1,ICD-10
T741,Physical abuse,CM2,Physical or sexual abuse,"CM NOS, incl. physical or sexual abuse",CM,CM,T741,"","","",1,1,ICD-10
T742,Sexual abuse,CM2,Physical or sexual abuse,"CM NOS, incl. physical or sexual abuse",CM,CM,T742,"","","",1,1,ICD-10
Z626,Inappropriate parental pressure and other abnormal qualities of upbringing,CM2,Neglect incl. emotional/psychological abuse,"CM NOS, incl. physical or sexual abuse",CM,CM,Z626,"","","","",1,ICD-10
