code	term	Indicator	Indicator 2	Indicator 3	domain	severity	scale	reference standard	coding system	individual	
112603	[X]Fallng jumpng/push frm high place undet intent occ home	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				read	1	
Y29	"Contact with blunt object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y290	"Contact with blunt object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y291	"Contact with blunt object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM			2	ICD-10	1	
Y291	"Contact with blunt object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM	Residential institution			ICD-10	1	
Y292	"Contact with blunt object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y293	"Contact with blunt object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y294	"Contact with blunt object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y295	"Contact with blunt object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y296	"Contact with blunt object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y297	"Contact with blunt object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y298	"Contact with blunt object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y299	"Contact with blunt object, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y30	"Falling, jumping or pushed from a high place, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
Y300	"Falling, jumping or pushed from a high place, undetermined intent"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	"Child harm by undetermined intent - falling, jumping, pushing or crash by others or object"	Harm by undetermined intent (HRP)	High-risk presentation of CM				ICD-10	1	
