medcode,Coding_term,Indicator_code,Indicator_specific,Indicator_1,Indicator_2,Domain,readcode_gemscript,Severity,cut_off,scale,Reference_std,individual,system
1372,Spontaneous bruising,HPRCM1,"Lacerations, scars and abrasions - Bruising and contusions",Bruising & contusions,Child Injuries,HRP-CM,16B3.00,"","","","",1,read
5130,Leg bruise,HPRCM1,"Lacerations, scars and abrasions - Bruising and contusions",Bruising & contusions,Child Injuries,HRP-CM,SE4..11,"","","","",1,read
6070,Bruising symptom,HPRCM1,"Lacerations, scars and abrasions - Bruising and contusions",Bruising & contusions,Child Injuries,HRP-CM,16B..00,"","","","",1,read
8845,Arm bruise,HPRCM1,"Lacerations, scars and abrasions - Bruising and contusions",Bruising & contusions,Child Injuries,HRP-CM,SE3..11,"","","","",1,read
6191,O/E - bruising,HPRCM1,"Lacerations, scars and abrasions - Bruising and contusions",Bruising & contusions,Child Injuries,HRP-CM,2I15.00,"","","","",1,read
4883,"Contusion of face, scalp and neck NOS",HPRCM1,"Lacerations, scars and abrasions - Bruising and contusions",Bruising & contusions,Child Injuries,HRP-CM,SE0z.00,"","","","",1,read
7565,"Contusion, thigh",HPRCM1,"Lacerations, scars and abrasions - Bruising and contusions",Bruising & contusions,Child Injuries,HRP-CM,SE40100,"","","","",1,read
9740,Bruise of head,HPRCM1,"Lacerations, scars and abrasions - Bruising and contusions",Bruising & contusions,Child Injuries,HRP-CM,SE0..12,"","","","",1,read
8197,"Bruise, trunk",HPRCM1,"Lacerations, scars and abrasions - Bruising and contusions",Bruising & contusions,Child Injuries,HRP-CM,SE2..11,"","","","",1,read
12142,Bruise of face,HPRCM1,"Lacerations, scars and abrasions - Bruising and contusions",Bruising & contusions,Child Injuries,HRP-CM,SE0..11,"","","","",1,read
3555,"Contusion, ear",HPRCM1,"Lacerations, scars and abrasions - Bruising and contusions",Bruising & contusions,Child Injuries,HRP-CM,SE05.00,"","","","",1,read
