medcode	term	health_comorbidity_domain	severity	scale	system	individual
241	Acute myocardial infarction	Acute myocardial infarction			read	2
1677	MI - acute myocardial infarction	Acute myocardial infarction			read	2
14658	Acute myocardial infarction NOS	Acute myocardial infarction			read	2
1678	Inferior myocardial infarction NOS	Acute myocardial infarction			read	2
2491	Coronary thrombosis	Acute myocardial infarction			read	2
3704	Acute subendocardial infarction	Acute myocardial infarction			read	2
14897	Anterior myocardial infarction NOS	Acute myocardial infarction			read	2
5387	Other specified anterior myocardial infarction	Acute myocardial infarction			read	2
12139	Acute anterolateral infarction	Acute myocardial infarction			read	2
8935	Acute inferolateral infarction	Acute myocardial infarction			read	2
17872	Acute anteroseptal infarction	Acute myocardial infarction			read	2
9507	Acute non-Q wave infarction	Acute myocardial infarction			read	2
23892	Posterior myocardial infarction NOS	Acute myocardial infarction			read	2
14898	Lateral myocardial infarction NOS	Acute myocardial infarction			read	2
29643	Acute inferoposterior infarction	Acute myocardial infarction			read	2
7783	ECG: myocardial infarction	Acute myocardial infarction			read	2
13571	Thrombosis - coronary	Acute myocardial infarction			read	2
46017	Other acute myocardial infarction NOS	Acute myocardial infarction			read	2
34803	Other acute myocardial infarction	Acute myocardial infarction			read	2
32272	Postoperative myocardial infarction	Acute myocardial infarction			read	2
30421	Cardiac rupture following myocardial infarction (MI)	Acute myocardial infarction			read	2
29758	Acute transmural myocardial infarction of unspecif site	Acute myocardial infarction			read	2
41221	Acute septal infarction	Acute myocardial infarction			read	2
40429	Acute anteroapical infarction	Acute myocardial infarction			read	2
30330	Acute Q-wave infarct	Acute myocardial infarction			read	2
28736	Acute atrial infarction	Acute myocardial infarction			read	2
32854	Acute posterolateral myocardial infarction	Acute myocardial infarction			read	2
63467	True posterior myocardial infarction	Acute myocardial infarction			read	2
41835	Postoperative subendocardial myocardial infarction	Acute myocardial infarction			read	2
46276	Postoperative transmural myocardial infarction inferior wall	Acute myocardial infarction			read	2
26975	ECG: antero-septal infarct.	Acute myocardial infarction			read	2
68357	Microinfarction of heart	Acute myocardial infarction			read	2
26972	ECG:posterior/inferior infarct	Acute myocardial infarction			read	2
52705	ECG: lateral infarction	Acute myocardial infarction			read	2
68748	"Postoperative myocardial infarction, unspecified"	Acute myocardial infarction			read	2
61670	Diab mellit insulin-glucose infus acute myocardial infarct	Acute myocardial infarction			read	2
55401	ECG: subendocardial infarct	Acute myocardial infarction			read	2
46112	Postoperative transmural myocardial infarction anterior wall	Acute myocardial infarction			read	2
59032	ECG: myocardial infarct NOS	Acute myocardial infarction			read	2
62626	Acute papillary muscle infarction	Acute myocardial infarction			read	2
96838	[X]Acute transmural myocardial infarction of unspecif site	Acute myocardial infarction			read	2
I21	Acute myocardial infarction	Acute myocardial infarction			ICD-10	2
10562	Acute non-ST segment elevation myocardial infarction	Acute myocardial infarction			read	2
12229	Acute ST segment elevation myocardial infarction	Acute myocardial infarction			read	2
p_K503	Percutaneous transluminal injection of therapeutic substance into coronary artery NEC	Acute myocardial infarction			OPCS-4	2
p_K502	Percutaneous transluminal coronary thrombolysis using streptokinase	Acute myocardial infarction			OPCS-4	2
938	Pancytopenia NOS	Anaemia			read	2
15422	Aplastic anaemia	Anaemia			read	2
5823	Pancytopenia - acquired	Anaemia			read	2
32900	Blackfan - Diamond syndrome	Anaemia			read	2
30994	[X]Pure red cell aplasia	Anaemia			read	2
16108	Aplastic anaemia due to chronic disease	Anaemia			read	2
15658	Acquired aplastic anaemia	Anaemia			read	2
37320	Congenital hypoplastic anaemia	Anaemia			read	2
21723	Acquired aplastic anaemia NOS	Anaemia			read	2
34754	Fanconi's familial refractory anaemia	Anaemia			read	2
