code	term	Indicator	Indicator 2	Indicator 3	domain	severity	scale	reference standard	coding system	individual
27	Alcohol consumption	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild	1		read	2
12949	Teetotaller	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Non-drinker			read	2
749	Drinks occasionally	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild			read	2
385	Drinks rarely	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild			read	2
12975	Trivial drinker - <1u/day	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild			read	2
12972	Light drinker - 1-2u/day	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild			read	2
95744	Alcohol use disorder identificatn test consumptn questionnre	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild	1		read	2
93624	Fast alcohol screening test	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild	1		read	2
95663	Alcohol screen - AUDIT C completed	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild	1		read	2
967	Stopped drinking alcohol	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Ex-Drinker			read	2
11491	Health ed. - alcohol	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Moderate			read	2
4447	Non-drinker alcohol	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Non-drinker			read	2
322	Moderate drinker - 3-6u/day	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Moderate			read	2
12970	Non drinker alcohol	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Non-drinker			read	2
26472	Alcohol intake within recommended sensible limits	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild			read	2
956	Social drinker	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild			read	2
2084	Alcohol dependence syndrome	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
94963	Alcohol screen - fast alcohol screening test completed	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild	1		read	2
12979	Current non drinker	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Non-drinker			read	2
94838	Alcohol use disorders identification test	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild	1		read	2
7692	Patient advised about alcohol	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild			read	2
1399	Alcohol problem drinking	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
90714	Alcohol screen - AUDIT completed	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild	1		read	2
12981	Alcohol consumption NOS	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild	1		read	2
18711	Lifestyle advice regarding alcohol	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild			read	2
48545	Alcohol questionnaire completed	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild	1		read	2
93415	Alcohol units per week	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild	1		read	2
12982	Alcohol intake above recommended sensible limits	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Moderate			read	2
2689	Beer drinker	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild			read	2
1618	Heavy drinker - 7-9u/day	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
96053	Brief intervention for excessive alcohol consumptn completed	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Moderate			read	2
2083	Alcohol detoxification	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
9264	Alcohol consumption screen	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild	1		read	2
2081	Alcoholism	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
12969	Drinks wine	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild			read	2
7746	Nondependent alcohol abuse	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Moderate			read	2
669	"Nondependent alcohol abuse, unspecified"	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Moderate			read	2
12977	Very heavy drinker - >9u/day	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
3782	Intoxication - alcohol	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
2082	Alcohol withdrawal syndrome	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
11740	Alcohol misuse - enhanced services administration	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
35330	Alcohol consumption counselling	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Moderate			read	2
19401	Binge drinker	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Moderate			read	2
12978	Alcohol consumption unknown	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild	1		read	2
12980	Light drinker	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild			read	2
8030	[V]Alcohol abuse counselling and surveillance	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
12971	Spirit drinker	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild			read	2
30695	Harmful alcohol use	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
19494	Hazardous alcohol use	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Moderate			read	2
12442	Alcohol disorder monitoring	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
8999	Heavy drinker	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
12985	Moderate drinker	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Moderate			read	2
4743	Alcoholic cirrhosis of liver	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
12968	Drinks beer and spirits	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild			read	2
7885	Alcoholic liver damage unspecified	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
12271	Drunkenness NOS	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild			read	2
9849	Referral to community alcohol team	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
19489	Alcohol consumption screen	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild	1		read	2
32964	Alcohol abuse monitoring	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
9489	Under care of community alcohol team	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
4506	Alcoholic gastritis	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
94669	Alcohol consumption screening test declined	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild	1		read	2
97261	Brief intervention for excessive alcohol consumptn declined	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Moderate			read	2
11140	Advice on alcohol consumption	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Moderate			read	2
8430	H/O: alcoholism	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
12983	Ex-very heavy drinker-(>9u/d)	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Ex-Drinker			read	2
6169	Alcohol dependence syndrome NOS	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
19493	Ex-heavy drinker - (7-9u/day)	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Ex-Drinker			read	2
7545	[V] Alcohol use	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild			read	2
10161	O/E - alcoholic breath	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild			read	2
5740	Acute alcoholic intoxication in alcoholism	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
12554	Referral to community drug and alcohol team	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
10691	Alcoholic fatty liver	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
22933	Ex-trivial drinker (<1u/day)	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Non-drinker			read	2
97126	Alcohol units consumed on heaviest drinking day	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild			read	2
32927	[X]Alcohol withdrawal-induced seizure	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
3216	Acute alcoholic hepatitis	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
31443	Chronic alcoholism	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
59873	AUDIT - Alcohol use disorders identification test	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild	1		read	2
37264	Alcohol leaflet given	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Moderate			read	2
19495	Ex-moderate drinker - (3-6u/d)	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Ex-Drinker			read	2
63529	Alcohol misuse - enhanced service completed	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
26471	Ex-light drinker - (1-2u/day)	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Ex-Drinker			read	2
12974	"Nondependent alcohol abuse, episodic"	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Moderate			read	2
12984	Very heavy drinker	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
7943	Alcoholic hepatitis	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
94670	Alcohol misuse	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
95944	Alcohol assesment declined - enhanced services admin	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
96054	Extended intervention for excessive alcohol consumptn complt	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
32850	Alcohol use disorders identification test	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Mild	1		read	2
28780	[X]Alcohol addiction	Alcohol misuse	Alcohol misuse	Alcohol misuse	Substance misuse	Severe			read	2
