medcode,Coding_term,Indicator_code,Indicator_specific,Indicator_1,Indicator_2,Domain,readcode_gemscript,Severity,cut_off,scale,Reference_std,individual,system
171,Overdose of drug,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","",2,2,read
7496,Drug addiction therapy,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","","",2,read
5105,Drug dependence,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","","",2,read
689,Heroin dependence,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","","",2,read
460,Benzodiazepine dependence,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","","",2,read
6111,Drug addictn therap-methadone,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","","",2,read
3519,Drug addiction,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","","",2,read
16243,Opioid type drug dependence,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","","",2,read
6595,Cause of overdose - deliberate,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","","",2,read
24315,FP10(MDA) issued,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","","",2,read
697,[X]Deliberate drug overdose / other poisoning,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","","",2,read
9273,Substance abuse counselling,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","","",2,read
3844,Drug withdrawal syndrome,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","","",2,read
1493,Cause of overdose - accidental,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","","",2,read
4564,[X]Heroin addiction,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","","",2,read
4701,H/O: drug dependency,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","","",2,read
9096,Under care of community drug team,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","","",2,read
31213,Substance misuse monitoring,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","","",2,read
9948,Seen in drug rehabilitation centre,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","","",2,read
3222,Detoxification dependence drug,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","","",2,read
16374,Methadone dependence,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","","",2,read
12651,H/O: drug abuse,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","","",2,read
8463,[V]Drug abuse counselling and surveillance,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","","",2,read
98221,Seen in substance misuse clinic,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","","",2,read
30694,Drug addiction maintenance therapy - methadone,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","","",2,read
10538,[X]Drug addiction - opioids,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","","",2,read
18379,[X]Overdose - paracetamol,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","","",2,read
8284,Cannabis type drug dependence,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","","",2,read
72663,Substance misuse clinical management plan reviewed,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","","",2,read
54356,Drug abuse monitoring,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","","",2,read
29446,Drug dependence NOS,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","","",2,read
28971,FH: Drug dependency,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,"",Severe,"","","",2,read
