Code_ready_CPRDGOLD_HES_ONS,Coding_term,ACE_indicator_code,ACE_indicator_specific,ACE_indicator_1,ACE_indicator_2,ACE_domain,code_original,Severity,cut_off,scale,Reference_std,individual,system
10330,Alcoholic spouse,MSM4,Family substance misuse,Family substance misuse (i.e. unspecified family member),Substance misuse,MSM,13L3.11,Moderate,"","","",2,read
15404,Husband alcoholic,MSM4,Family substance misuse,Family substance misuse (i.e. unspecified family member),Substance misuse,MSM,13L3.13,Moderate,"","","",2,read
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,X42,Severe,"","","",2,ICD-10
X420,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,X420,Severe,"","",2,2,ICD-10
X421,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,X421,Severe,"","",2,2,ICD-10
X422,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,X422,Severe,"","","",2,ICD-10
X423,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,X423,Severe,"","","",2,ICD-10
X424,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,X424,Severe,"","","",2,ICD-10
X425,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,X425,Severe,"","","",2,ICD-10
X426,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,X426,Severe,"","","",2,ICD-10
X427,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,X427,Severe,"","","",2,ICD-10
X428,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,X428,Severe,"","","",2,ICD-10
X429,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,X429,Severe,"","","",2,ICD-10
X440,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,X440,Severe,"","","",2,ICD-10
X430,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,X430,Severe,"","","",2,ICD-10
p_U521,Delivery of rehabilitation for drug addiction,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,U521,Severe,"","","",2,OPCS-4
Z715,Drug abuse counselling and surveillance,MSM1,Drug misuse,"Drug misuse, severe (likely dependence levels)",Drug misuse,MSM,Z715,Severe,"","","",2,ICD-10
