code	coding term	Indicator 1	Indicator 2	exclusion_domain	severity	scale	system
7438	[X]Osteopenia	Osteoporosis	Osteoporosis	Bone disease			read
1604	Osgood-Schlatter's dis - osteochondrosis of tibial tubercle	Osteoporosis	Osteoporosis	Bone disease			read
10362	At risk of osteoporosis	Osteoporosis	Osteoporosis	Bone disease			read
11603	Osteoporosis monitoring	Osteoporosis	Osteoporosis	Bone disease			read
13055	Health education - osteoporosis	Osteoporosis	Osteoporosis	Bone disease			read
18265	Seen in osteoporosis clinic	Osteoporosis	Osteoporosis	Bone disease			read
24959	Osteoporosis risk assessment done	Osteoporosis	Osteoporosis	Bone disease			read
11503	Fragility fracture due to unspecified osteoporosis	Osteoporosis	Osteoporosis	Bone disease			read
5656	Sever's disease - osteochondrosis of calcaneum	Osteoporosis	Osteoporosis	Bone disease			read
34798	Osteoporosis NOS	Osteoporosis	Osteoporosis	Bone disease			read
26876	Osteoporosis - dietary advice	Osteoporosis	Osteoporosis	Bone disease			read
68122	Osteoporosis monitoring first letter	Osteoporosis	Osteoporosis	Bone disease			read
41376	Osteoporosis - exercise advice	Osteoporosis	Osteoporosis	Bone disease			read
101068	Osteoporosis medication prophylaxis	Osteoporosis	Osteoporosis	Bone disease			read
36796	Osteoporosis monitoring administration	Osteoporosis	Osteoporosis	Bone disease			read
33667	Juvenile osteochondrosis of the leg	Osteoporosis	Osteoporosis	Bone disease			read
10359	Follow-up osteoporosis assessment	Osteoporosis	Osteoporosis	Bone disease			read
10293	Initial osteoporosis assessment	Osteoporosis	Osteoporosis	Bone disease			read
14967	"Osteoporosis, unspecified"	Osteoporosis	Osteoporosis	Bone disease			read
5074	Rickets	Osteoporosis	Osteoporosis	Bone disease			read
8398	Freiberg's disease - osteochondrosis of second metatarsal	Osteoporosis	Osteoporosis	Bone disease			read
101443	Excepted osteoporosis quality indicators: patient unsuitable	Osteoporosis	Osteoporosis	Bone disease			read
4158	Osteogenesis imperfecta	Osteoporosis	Osteoporosis	Bone disease			read
99817	History of osteoporosis	Osteoporosis	Osteoporosis	Bone disease			read
17377	Osteoporosis + pathological fracture lumbar vertebrae	Osteoporosis	Osteoporosis	Bone disease			read
98760	Bone sparing drug treatment offered for osteoporosis - ESA	Osteoporosis	Osteoporosis	Bone disease			read
39596	Refer to osteoporosis specialist	Osteoporosis	Osteoporosis	Bone disease			read
12673	Osteoporosis + pathological fracture thoracic vertebrae	Osteoporosis	Osteoporosis	Bone disease			read
28882	Referral to osteoporosis clinic	Osteoporosis	Osteoporosis	Bone disease			read
37646	Osteoporosis treatment started	Osteoporosis	Osteoporosis	Bone disease			read
17135	Osteochondrosis NOS	Osteoporosis	Osteoporosis	Bone disease			read
12440	Sinding-Larsen's dis - osteochondrosis second patella centre	Osteoporosis	Osteoporosis	Bone disease			read
104186	Excepted osteoporosis quality indicators: informed dissent	Osteoporosis	Osteoporosis	Bone disease			read
19048	Collapse of thoracic vertebra due to osteoporosis	Osteoporosis	Osteoporosis	Bone disease			read
