code	term	Indicator	Indicator 2	Indicator 3	domain	severity	scale	reference standard	coding system	individual
261	[X]Assault	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
48551	Suspected assault - allegation made	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
6227	[X]Stabbing	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
7380	[X]Attacked	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
11813	Stabbed in fight	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
24187	Assault by unspecified means	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
5466	[X] Assault by fight	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
8185	[X]Hit struck kicked twistd bitten/scratchd by anoth person	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
9941	Assault by other means	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
16091	Homicide or assault by rape	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment			1	read	1
27638	[X]Assault by bodily force	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
44600	Assault by cutting and stabbing instruments	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
27551	Assault by means NOS	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
25072	Assault by cutting or stabbing NOS	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
25935	[X]Assault by sharp object	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
28127	[X]Assault by unspecified means	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment	Unspecified place			read	1
20530	Assault by other means NOS	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
20956	"[X]Assault by bodily force, occurrence at home"	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment	Home			read	1
23816	Homicidal stab of any part of body	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment			1	read	1
24605	Cut in fight	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
24652	Assault by striking by blunt object	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
20671	"[X]Assault by bodily force, occurrence on street / highway"	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
33750	"[X]Assault by bodily force, occurrence at unspecified place"	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment	Unspecified place			read	1
25766	Assault by other specified means	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
25267	Assault by strangulation	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
44292	[X]Assault by unspecified means occurrn at unspecif place	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment	Unspecified place			read	1
21188	Assault by arson	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
27847	Assault by shotgun	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
25608	[X]Assault by blunt object	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
43197	[X]Hit strck kick twst bit/scr prs sch oth inst/pub adm area	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
51354	[X]Assault by handgun discharge	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
48286	Assault by striking by blunt or thrown object	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
28916	[X]Intentionally shot with handgun	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
24644	[X]Strangled	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
60516	"[X]Assault by sharp object, occurrence at unspecified place"	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment	Unspecified place			read	1
49354	[X]Assault by other specified means	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
34710	Deliberate shooting NOS	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
36705	"[X]Assault - gun, handgun"	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
27974	[X]Assault by bodily force occurrn at other specified place	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
28298	[X]Assault by bodily force occurrn sch oth ins/pub adm area	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
31939	[X]Intentionally shot with shotgun	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
24565	[X]Struck by thrown projected or falling object	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
41570	"[X]Assault by sharp object, occurrence at home"	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment	Home			read	1
68993	"[X]Assault by blunt object, occurrence at unspecified place"	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment	Unspecified place			read	1
44610	[X]Striking against or struck by other objects	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
20444	Assault by striking by thrown object	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
28336	Assault by striking by blunt or thrown object NOS	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
57006	Assault by hanging and strangulation	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
50503	Assault by poisoning	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
61580	[X]Sequelae of assault	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
60864	"[X]Assault by rifle, shotgun and larger firearm discharge"	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
56326	[X]Assault by bodily force occurrn in residential institut'n	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment	Residential institution			read	1
52440	Assault by firearms and explosives	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
42913	"[X]Assault by sharp object, occurrence on street / highway"	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
48800	"[X]Assault by drugs, medicaments and biological substances"	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
56218	[X]Assault by bodily force occurrence at trade/service area	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
26883	"[X]Assault - gun, larger gun"	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
55572	[X]Smothered / suffocated	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
62824	[X]Hit strck kick twist bit/scr anoth pers oth unspecif plce	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment	Unspecified place			read	1
61068	[X]Rifle shotgun and larger firearm discharge	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
29547	Assault by acid	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
40736	[X]Assault by unspecified chemical or noxious substance	Assault NOS (CM)	Assault NOS (CM)	Assault	Child maltreatment				read	1
