medcode,code_orginal,Cause,system
G543,G543,Other musculoskeletal disorders,ICD-10
I271,I271,Other musculoskeletal disorders,ICD-10
M47014,M47014,Other musculoskeletal disorders,ICD-10
M4714,M4714,Other musculoskeletal disorders,ICD-10
M4724,M4724,Other musculoskeletal disorders,ICD-10
M47814,M47814,Other musculoskeletal disorders,ICD-10
M47895,M47895,Other musculoskeletal disorders,ICD-10
M4804,M4804,Other musculoskeletal disorders,ICD-10
M4824,M4824,Other musculoskeletal disorders,ICD-10
M4834,M4834,Other musculoskeletal disorders,ICD-10
M4844,M4844,Other musculoskeletal disorders,ICD-10
M4854,M4854,Other musculoskeletal disorders,ICD-10
M4984,M4984,Other musculoskeletal disorders,ICD-10
M4989,M4989,Other musculoskeletal disorders,ICD-10
M519,M519,Other musculoskeletal disorders,ICD-10
M53,M53,Other musculoskeletal disorders,ICD-10
M532,M532,Other musculoskeletal disorders,ICD-10
M5414,M5414,Other musculoskeletal disorders,ICD-10
M99,M99,Other musculoskeletal disorders,ICD-10
M9902,M9902,Other musculoskeletal disorders,ICD-10
M9912,M9912,Other musculoskeletal disorders,ICD-10
M9922,M9922,Other musculoskeletal disorders,ICD-10
M9932,M9932,Other musculoskeletal disorders,ICD-10
M9942,M9942,Other musculoskeletal disorders,ICD-10
M9952,M9952,Other musculoskeletal disorders,ICD-10
M9962,M9962,Other musculoskeletal disorders,ICD-10
M9972,M9972,Other musculoskeletal disorders,ICD-10
M9982,M9982,Other musculoskeletal disorders,ICD-10
L93,L93,Other musculoskeletal disorders,ICD-10
L930,L930,Other musculoskeletal disorders,ICD-10
L931,L931,Other musculoskeletal disorders,ICD-10
L932,L932,Other musculoskeletal disorders,ICD-10
M00,M00,Other musculoskeletal disorders,ICD-10
M000,M000,Other musculoskeletal disorders,ICD-10
M0000,M0000,Other musculoskeletal disorders,ICD-10
M0001,M0001,Other musculoskeletal disorders,ICD-10
M0002,M0002,Other musculoskeletal disorders,ICD-10
M0003,M0003,Other musculoskeletal disorders,ICD-10
M0004,M0004,Other musculoskeletal disorders,ICD-10
M0005,M0005,Other musculoskeletal disorders,ICD-10
M0006,M0006,Other musculoskeletal disorders,ICD-10
M0007,M0007,Other musculoskeletal disorders,ICD-10
M0008,M0008,Other musculoskeletal disorders,ICD-10
M0009,M0009,Other musculoskeletal disorders,ICD-10
M001,M001,Other musculoskeletal disorders,ICD-10
M0010,M0010,Other musculoskeletal disorders,ICD-10
M0011,M0011,Other musculoskeletal disorders,ICD-10
M0012,M0012,Other musculoskeletal disorders,ICD-10
M0013,M0013,Other musculoskeletal disorders,ICD-10
M0014,M0014,Other musculoskeletal disorders,ICD-10
M0015,M0015,Other musculoskeletal disorders,ICD-10
M0016,M0016,Other musculoskeletal disorders,ICD-10
M0017,M0017,Other musculoskeletal disorders,ICD-10
M0018,M0018,Other musculoskeletal disorders,ICD-10
M0019,M0019,Other musculoskeletal disorders,ICD-10
M002,M002,Other musculoskeletal disorders,ICD-10
M0020,M0020,Other musculoskeletal disorders,ICD-10
M0021,M0021,Other musculoskeletal disorders,ICD-10
M0022,M0022,Other musculoskeletal disorders,ICD-10
M0023,M0023,Other musculoskeletal disorders,ICD-10
M0024,M0024,Other musculoskeletal disorders,ICD-10
M0025,M0025,Other musculoskeletal disorders,ICD-10
M0026,M0026,Other musculoskeletal disorders,ICD-10
M0027,M0027,Other musculoskeletal disorders,ICD-10
M0028,M0028,Other musculoskeletal disorders,ICD-10
