code	term	Indicator	Indicator 2	Indicator 3	domain	severity	scale	reference standard	coding system	individual	
50503	Assault by poisoning	Assault NOS (IV)	Assault NOS (IV)	Assault	Intimate partner violence				read	2	
48800	"[X]Assault by drugs, medicaments and biological substances"	Assault NOS (IV)	Assault NOS (IV)	Assault	Intimate partner violence				read	2	
40736	[X]Assault by unspecified chemical or noxious substance	Assault NOS (IV)	Assault NOS (IV)	Assault	Intimate partner violence				read	2	
58008	[X]Assault by gases and vapours	Assault NOS (IV)	Assault NOS (IV)	Assault	Intimate partner violence				read	2	
48069	Assault by poisoning by drugs or medicines	Assault NOS (IV)	Assault NOS (IV)	Assault	Intimate partner violence				read	2	
46506	[X]Assault by other specified chemicals+noxious substances	Assault NOS (IV)	Assault NOS (IV)	Assault	Intimate partner violence				read	2	
72511	"Assault by corrosive or caustic substance, except poisoning"	Assault NOS (IV)	Assault NOS (IV)	Assault	Intimate partner violence				read	2	
65289	Assault by caustic substance	Assault NOS (IV)	Assault NOS (IV)	Assault	Intimate partner violence				read	2	
65968	[X]Assault by corrosive substance	Assault NOS (IV)	Assault NOS (IV)	Assault	Intimate partner violence				read	2	
71032	[X]Assault by pesticide	Assault NOS (IV)	Assault NOS (IV)	Assault	Intimate partner violence				read	2	
71472	Assault by poisoning by other gases or vapours	Assault NOS (IV)	Assault NOS (IV)	Assault	Intimate partner violence				read	2	
95160	Assault by poisoning NOS	Assault NOS (IV)	Assault NOS (IV)	Assault	Intimate partner violence				read	2	
50493	Assault by corrosive substance NOS	Assault NOS (IV)	Assault NOS (IV)	Assault	Intimate partner violence				read	2	
61476	[X]Assault by gases and vapour occurrn at unspecified place	Assault NOS (IV)	Assault NOS (IV)	Assault	Intimate partner violence	Unspecified place			read	2	
63862	[X]Assault unspecif chemicl/noxous subst occ unspecif place	Assault NOS (IV)	Assault NOS (IV)	Assault	Intimate partner violence	Unspecified place			read	2	
65677	"[X]Assault by pesticides, occurrence on farm"	Assault NOS (IV)	Assault NOS (IV)	Assault	Intimate partner violence				read	2	
71727	[X]Assault unspecif chemical/noxous subst occ street/highway	Assault NOS (IV)	Assault NOS (IV)	Assault	Intimate partner violence				read	2	
97684	[X]Assault by gas+vapour occ school oth inst/pub admin area	Assault NOS (IV)	Assault NOS (IV)	Assault	Intimate partner violence				read	2	
