Code,Coding_term,Indicator_code,Indicator_specific,Indicator_1,Indicator_2,Domain,code_original,Severity,cut_off,scale,Reference_std,individual,system
25033,Child/parent violence,mIPV3,Parental domestic violence NOS,Suspected mIPV NOS,Suspected mIPV (susp. mIPV),mIPV,13W4000,"","","",2,2,read
Y87,"Sequelae of intentional self-harm, assault and events of undetermined intent",ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),mIPV_ASSLT_ALGO,Y87,"","",Aslt_algo_index,"",2,ICD-10
Y007,Assault by blunt object,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),mIPV_ASSLT_ALGO,Y007,Farm,"",Aslt_algo_index,"",2,ICD-10
Y047,Assault by bodily force,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),mIPV_ASSLT_ALGO,Y047,Farm,"",Aslt_algo_index,"",2,ICD-10
X867,Assault by corrosive substance,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),mIPV_ASSLT_ALGO,X867,Farm,"",Aslt_algo_index,"",2,ICD-10
X857,"Assault by drugs, medicaments and biological substances",ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),mIPV_ASSLT_ALGO,X857,Farm,"",Aslt_algo_index,"",2,ICD-10
X887,Assault by gases and vapours,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),mIPV_ASSLT_ALGO,X887,Farm,"",Aslt_algo_index,"",2,ICD-10
X917,"Assault by hanging, strangulation and suffocation",ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),mIPV_ASSLT_ALGO,X917,Farm,"",Aslt_algo_index,"",2,ICD-10
X897,Assault by other specified chemicals and noxious substances,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),mIPV_ASSLT_ALGO,X897,Farm,"",Aslt_algo_index,"",2,ICD-10
Y087,Assault by other specified means,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),mIPV_ASSLT_ALGO,Y087,Farm,"",Aslt_algo_index,"",2,ICD-10
X877,Assault by pesticides,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),mIPV_ASSLT_ALGO,X877,Farm,"",Aslt_algo_index,"",2,ICD-10
Y017,Assault by pushing from high place,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),mIPV_ASSLT_ALGO,Y017,Farm,"",Aslt_algo_index,"",2,ICD-10
Y027,Assault by pushing or placing victim before moving object,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),mIPV_ASSLT_ALGO,Y027,Farm,"",Aslt_algo_index,"",2,ICD-10
X997,Assault by sharp object,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),mIPV_ASSLT_ALGO,X997,Farm,"",Aslt_algo_index,"",2,ICD-10
X987,"Assault by steam, hot vapours and hot objects",ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),mIPV_ASSLT_ALGO,X987,Farm,"",Aslt_algo_index,"",2,ICD-10
X907,Assault by unspecified chemical or noxious substance,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),mIPV_ASSLT_ALGO,X907,Farm,"",Aslt_algo_index,"",2,ICD-10
Y097,Assault by unspecified means,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),mIPV_ASSLT_ALGO,Y097,Farm,"",Aslt_algo_index,"",2,ICD-10
Y057,Sexual assault by bodily force,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),mIPV_ASSLT_ALGO,Y057,Farm,"",Aslt_algo_index,"",2,ICD-10
Y000,Assault by blunt object,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),mIPV_ASSLT_ALGO,Y000,Home,"",Aslt_algo_index,"",2,ICD-10
Y040,Assault by bodily force,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),mIPV_ASSLT_ALGO,Y040,Home,"",Aslt_algo_index,"",2,ICD-10
X860,Assault by corrosive substance,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),mIPV_ASSLT_ALGO,X860,Home,"",Aslt_algo_index,"",2,ICD-10
X920,Assault by drowning and submersion,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),mIPV_ASSLT_ALGO,X920,Home,"",Aslt_algo_index,"",2,ICD-10
X850,"Assault by drugs, medicaments and biological substances",ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),mIPV_ASSLT_ALGO,X850,Home,"",Aslt_algo_index,"",2,ICD-10
X960,Assault by explosive material,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),mIPV_ASSLT_ALGO,X960,Home,"",Aslt_algo_index,"",2,ICD-10
X880,Assault by gases and vapours,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),mIPV_ASSLT_ALGO,X880,Home,"",Aslt_algo_index,"",2,ICD-10
X930,Assault by handgun discharge,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),mIPV_ASSLT_ALGO,X930,Home,"",Aslt_algo_index,"",2,ICD-10
X910,"Assault by hanging, strangulation and suffocation",ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),mIPV_ASSLT_ALGO,X910,Home,"",Aslt_algo_index,"",2,ICD-10
X950,Assault by other and unspecified firearm discharge,ASSLT_ALGO,Assault NOS (algo),Assault NOS (algo),Assault NOS (algo),mIPV_ASSLT_ALGO,X950,Home,"",Aslt_algo_index,"",2,ICD-10
