code	term	Indicator	Indicator 2	Indicator 3	domain	severity	scale	reference standard	coding system	individual
912	[D]Anorexia	Anorexia	Anorexia	Eating disorders	Mental health problem				read	2
2135	Anorexia nervosa	Anorexia	Anorexia	Eating disorders	Mental health problem				read	2
7744	Anorexia symptom	Anorexia	Anorexia	Eating disorders	Mental health problem				read	2
7608	Appetite loss - anorexia	Anorexia	Anorexia	Eating disorders	Mental health problem				read	2
8027	H/O: anorexia nervosa	Anorexia	Anorexia	Eating disorders	Mental health problem				read	2
30570	[X]Anorexia nervosa	Anorexia	Anorexia	Eating disorders	Mental health problem				read	2
53746	[D]Anorexia NOS	Anorexia	Anorexia	Eating disorders	Mental health problem				read	2
34929	[X]Atypical anorexia nervosa	Anorexia	Anorexia	Eating disorders	Mental health problem				read	2
33863	[X]Atypical bulimia nervosa	Anorexia	Anorexia	Eating disorders	Mental health problem				read	2
94230	AAQ - Anorexia attitudes questionnaire	Anorexia	Anorexia	Eating disorders	Mental health problem		1		read	2
F500	Anorexia nervosa	Anorexia	Anorexia	Eating disorders	Mental health problem				ICD-10	2
F501	Atypical anorexia nervosa	Anorexia	Anorexia	Eating disorders	Mental health problem				ICD-10	2
R630	Anorexia	Anorexia	Anorexia	Eating disorders	Mental health problem				ICD-10	2
636	Anxiety states	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	symptom			read	2
655	Anxiety with depression	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
5902	Anxiousness - symptom	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	symptom			read	2
131	Anxiousness	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	symptom			read	2
4534	Anxiety state NOS	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	symptom			read	2
19631	HAD scale: anxiety score	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem		1		read	2
4167	Fear of flying	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	symptom			read	2
460	Benzodiazepine dependence	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
3407	H/O: anxiety state	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	symptom			read	2
11913	[X]Mixed anxiety and depressive disorder	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
3361	Neurasthenia - nervous debility	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
6939	Anxiety state unspecified	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	symptom			read	2
4143	Globus hystericus	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
2300	Phobia unspecified	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
2509	[D]Nervousness	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	symptom			read	2
514	Tension - nervous	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	symptom			read	2
93401	Anxious	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	symptom			read	2
9386	[X]Phobic anxiety disorders	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
25638	[X]Anxiety NOS	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
3586	'Nerves'	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	symptom			read	2
5385	[X]Other anxiety disorders	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
13124	O/E - anxious	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	symptom			read	2
14780	Neurotic disorder NOS	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
12453	[X]Globus pharyngeus	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
1723	Claustrophobia	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	symptom			read	2
1907	Phobic disorders	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
4634	Recurrent anxiety	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	symptom			read	2
1582	Nervous exhaustion	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	symptom			read	2
1300	Photophobia	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	symptom			read	2
23838	"[X]Anxiety disorder, unspecified"	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
12508	[X]Needle phobia	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
9125	Anxiety management training	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	symptom			read	2
7222	[X]Phobia NOS	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
5347	Fear	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	symptom			read	2
15220	[X]Persistant anxiety depression	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
962	[X]Anxiety neurosis	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
7749	[X]Mild anxiety depression	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
16560	[X]Psychogenic IBS	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
791	Nervous breakdown	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
2585	Tenseness - symptom	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	symptom			read	2
11336	[X]Adjustment disorders	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
9944	Phobic anxiety	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
2366	Dental phobia	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
14729	Phobic disorder NOS	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
50191	[X]Anxiety state	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
20802	Flying phobia	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
2188	Hysteria	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
9785	[X]Specific (isolated) phobias	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
16679	[X]Psychogenic pruritis	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
9656	[X]Fatigue syndrome	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
3869	Psychogenic dyspepsia	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
20053	Psychogenic hyperventilation	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
11354	[X]Pseudoseizures	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
7999	Anxiety counselling	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
12635	[X]Simple phobia	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
12626	[X]Body dysmorphic disorder	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
29608	'Nerves' - nervousness	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	symptom			read	2
15959	Psychogenic pruritus	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
5067	Psychosomatic disorder NOS	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
10723	[D]Nervous tension	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	symptom			read	2
5249	Neurotic disorders	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
52655	Depression anxiety scale	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem		1		read	2
8725	O/E - nervous	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	symptom			read	2
5305	Depersonalisation syndrome	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
4963	Psychogenic aerophagy	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
6071	Fear of pregnancy	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
35825	[X]Anxiety reaction	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
15292	Cardiac neurosis	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	symptom			read	2
18672	Specific fear	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	symptom			read	2
15371	Psychogenic diarrhoea	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
20906	[X]Globus hystericus	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
6221	Separation anxiety disorder	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
31422	Psychogenic gastrointestinal tract symptoms	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
16484	Hysterical seizures	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
19242	[X]Psychosomatic disorder NOS	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
12830	[X]Psychogenic hyperventilat	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
28925	Referral for guided self-help for anxiety	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	symptom			read	2
18248	[X]Animal phobias	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
10158	Spurious diarrhoea	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
34064	"[X]Phobic anxiety disorder, unspecified"	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
3685	Writer's cramp neurosis	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	symptom			read	2
10390	Fear of death	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	symptom			read	2
21431	[X]Neurosis NOS	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
54373	Psychalgia NOS	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
22159	Acknowledging anxiety	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	symptom			read	2
16561	[X]Neurasthenia	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
34142	[X]Reactive attachment disorder of childhood	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
31865	[X]Selective mutism	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
17081	[X]Psychogenic freq micturit	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
24525	Phantom pregnancy	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
17853	[D]Nerves	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	symptom			read	2
25749	Phobia counselling	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
20109	Psychogenic vaginismus	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
16988	[X]Psychogenic confusion	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
19163	Depression anxiety stress scales anxiety score	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem		1		read	2
28381	Alleviating anxiety	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	symptom			read	2
38134	Psychogenic respiratory symptoms	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
68379	Psychogenic genitourinary tract symptoms	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
9265	[X]Depersonalization - derealization syndrome	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
4105	Aphonia - hysterical	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
4775	Hysterical fugue	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
29329	[X]Psychogenic headache	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
20773	[X]Organic anxiety disorder	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
28938	Animal phobia	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
15939	Psychogenic constipation	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
5274	Poor insight into neurotic condition	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	symptom			read	2
18801	[X]Psychogenic dysphonia	Anxiety disorder	Anxiety disorders (incl. anxiolytic algorithm and phobias)	Anxiety disorders	Mental health problem	diagnostic			read	2
