medcode,Coding_term,Indicator_code,Indicator_specific,Indicator_1,Indicator_2,Domain,readcode_gemscript,Severity,cut_off,scale,Reference_std,individual,system
d_20715,LIMBITROL 5,mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,4097101,5,"","","",2,prodcode
d_14534,Limbitrol 5 Capsule (Roche Products Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,50198020,5,"","","",2,prodcode
d_11963,Limbitrol 10 Capsule (Roche Products Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,54655020,10,"","","",2,prodcode
d_12194,NORTRIPTYLINE 10 MG ELI,mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,05750007,10,"","","",2,prodcode
d_14521,SINEQUAN 15 MG TAB,mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,01972007,15,"","","",2,prodcode
d_1940,Dothapax 25 capsules (Ashbourne Pharmaceuticals Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,56698020,25,"","","",2,prodcode
d_15632,Dothapax 75 tablets (Ashbourne Pharmaceuticals Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,56699020,75,"","","",2,prodcode
d_3668,IMIPRAMINE 100 MG TAB,mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,03312007,100,"","","",2,prodcode
d_3353,L-TRYPTOPHAN 500 MG CAP,mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,00062007,500,"","","",2,prodcode
d_12123,Faverin 100mg tablets (Mylan),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,62074020,100mg,"","","",2,prodcode
d_2290,Fluvoxamine 100mg tablets,mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,62070020,100mg,"","","",2,prodcode
d_48045,Fluvoxamine 100mg tablets (A A H Pharmaceuticals Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,66244020,100mg,"","","",2,prodcode
d_44861,Fluvoxamine 100mg tablets (Actavis UK Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,62693020,100mg,"","","",2,prodcode
d_43518,Fluvoxamine 100mg tablets (IVAX Pharmaceuticals UK Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,60735020,100mg,"","","",2,prodcode
d_4352,Lustral 100mg tablets (Pfizer Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,74047020,100mg,"","","",2,prodcode
d_727,Sertraline 100mg tablets,mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,74051020,100mg,"","","",2,prodcode
d_55146,Sertraline 100mg tablets (A A H Pharmaceuticals Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,71728020,100mg,"","","",2,prodcode
d_62950,Sertraline 100mg tablets (Accord Healthcare Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,39812020,100mg,"","","",2,prodcode
d_61503,Sertraline 100mg tablets (Actavis UK Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,72038020,100mg,"","","",2,prodcode
d_59600,Sertraline 100mg tablets (Almus Pharmaceuticals Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,75616020,100mg,"","","",2,prodcode
d_62692,Sertraline 100mg tablets (Bristol Laboratories Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,03894020,100mg,"","","",2,prodcode
d_54933,Sertraline 100mg tablets (PLIVA Pharma Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,72071020,100mg,"","","",2,prodcode
d_44944,Sertraline 100mg tablets (Teva UK Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,72095020,100mg,"","","",2,prodcode
d_43024,Dosulepin 100mg/5ml oral solution,mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,97461020,100mg/5ml,"","","",2,prodcode
d_49519,Sertraline 100mg/5ml oral suspension,mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,20738020,100mg/5ml,"","","",2,prodcode
d_7677,Allegron 10mg tablets (King Pharmaceuticals Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,55355020,10mg,"","","",2,prodcode
d_3490,Amitriptyline 10mg / Perphenazine 2mg tablets,mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,68728020,10mg,"","","",2,prodcode
d_34916,Amitriptyline 10mg Tablet (Berk Pharmaceuticals Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,48490020,10mg,"","","",2,prodcode
d_45242,Amitriptyline 10mg Tablet (Sussex Pharmaceutical Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,48533020,10mg,"","","",2,prodcode
d_83,Amitriptyline 10mg tablets,mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,58949020,10mg,"","","",2,prodcode
d_33090,Amitriptyline 10mg tablets (A A H Pharmaceuticals Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,48496020,10mg,"","","",2,prodcode
d_52867,Amitriptyline 10mg tablets (Accord Healthcare Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,03674020,10mg,"","","",2,prodcode
d_24141,Amitriptyline 10mg tablets (Actavis UK Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,48507020,10mg,"","","",2,prodcode
d_57972,Amitriptyline 10mg tablets (Alliance Healthcare (Distribution) Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,03671020,10mg,"","","",2,prodcode
d_55491,Amitriptyline 10mg tablets (Almus Pharmaceuticals Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,70945020,10mg,"","","",2,prodcode
d_61835,Amitriptyline 10mg tablets (DE Pharmaceuticals),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,16423021,10mg,"","","",2,prodcode
d_45233,Amitriptyline 10mg tablets (IVAX Pharmaceuticals UK Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,48522020,10mg,"","","",2,prodcode
d_34731,Amitriptyline 10mg tablets (Kent Pharmaceuticals Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,48516020,10mg,"","","",2,prodcode
d_57107,Amitriptyline 10mg tablets (Phoenix Healthcare Distribution Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,03673020,10mg,"","","",2,prodcode
d_65879,Amitriptyline 10mg tablets (Sigma Pharmaceuticals Plc),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,52215021,10mg,"","","",2,prodcode
d_24152,Amitriptyline 10mg tablets (Teva UK Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,48479020,10mg,"","","",2,prodcode
d_59161,Amitriptyline 10mg tablets (Waymade Healthcare Plc),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,47269020,10mg,"","","",2,prodcode
d_34401,Amitriptyline 10mg tablets (Wockhardt UK Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,48484020,10mg,"","","",2,prodcode
d_7515,Anafranil 10mg capsules (Novartis Pharmaceuticals UK Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,55386020,10mg,"","","",2,prodcode
d_7468,Bolvidon 10mg Tablet (Organon Laboratories Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,48430020,10mg,"","","",2,prodcode
d_648,Cipralex 10mg tablets (Lundbeck Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,86222020,10mg,"","","",2,prodcode
d_3861,Cipramil 10mg tablets (Lundbeck Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,79421020,10mg,"","","",2,prodcode
d_34498,Citalopram 10mg Tablet (Neo Laboratories Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,65254020,10mg,"","","",2,prodcode
d_476,Citalopram 10mg tablets,mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,79463020,10mg,"","","",2,prodcode
d_34586,Citalopram 10mg tablets (A A H Pharmaceuticals Ltd),mMHP1,Antidepressant,Depression incl. antidepressants,Common mental health problems,mMHPs,65376020,10mg,"","","",2,prodcode
