Code,Coding_term,Indicator_code,Indicator_specific,Indicator_1,Indicator_2,Domain,code_original,Severity,cut_off,scale,Reference_std,individual,system
74050,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,,"","","","",2,OXMIS
74079,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,,"","","","",2,OXMIS
74155,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,,"","","","",2,OXMIS
74293,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,,"","","","",2,OXMIS
74296,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,,"","","","",2,OXMIS
74352,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,,"","","","",2,OXMIS
74470,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,,"","","","",2,OXMIS
74624,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,,"","","","",2,OXMIS
74775,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,,"","","","",2,OXMIS
75087,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,,"","","","",2,OXMIS
75612,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,,"","","","",2,OXMIS
76768,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,,"","","","",2,OXMIS
77005,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,,"","","","",2,OXMIS
77229,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,,"","","","",2,OXMIS
78918,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,,"","","","",2,OXMIS
79163,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,,"","","","",2,OXMIS
79246,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,,"","","","",2,OXMIS
79553,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,,"","","","",2,OXMIS
80858,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,,"","","","",2,OXMIS
83126,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,,"","","","",2,OXMIS
83254,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,,"","","","",2,OXMIS
84210,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,,"","","","",2,OXMIS
84554,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,,"","","","",2,OXMIS
85574,"",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,,"","","","",2,OXMIS
F340,Cyclothymia,mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,F340,diagnostic,"","","",2,ICD-10
F32,Depressive episode,mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,F32,diagnostic,"","","",2,ICD-10
F329,"Depressive episode, unspecified",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,F329,diagnostic,"","","",2,ICD-10
F341,Dysthymia,mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,F341,diagnostic,"","","",2,ICD-10
F320,Mild depressive episode,mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,F320,diagnostic,"","","",2,ICD-10
F321,Moderate depressive episode,mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,F321,diagnostic,"","","",2,ICD-10
F063,Organic mood [affective] disorders,mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,F063,diagnostic,"","","",2,ICD-10
F328,Other depressive episodes,mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,F328,diagnostic,"","","",2,ICD-10
F38,Other mood [affective] disorders,mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,F38,diagnostic,"","","",2,ICD-10
F348,Other persistent mood [affective] disorders,mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,F348,diagnostic,"","","",2,ICD-10
F338,Other recurrent depressive disorders,mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,F338,diagnostic,"","","",2,ICD-10
F381,Other recurrent mood [affective] disorders,mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,F381,diagnostic,"","","",2,ICD-10
F380,Other single mood [affective] disorders,mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,F380,diagnostic,"","","",2,ICD-10
F388,Other specified mood [affective] disorders,mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,F388,diagnostic,"","","",2,ICD-10
F349,"Persistent mood [affective] disorder, unspecified",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,F349,diagnostic,"","","",2,ICD-10
F34,Persistent mood [affective] disorders,mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,F34,diagnostic,"","","",2,ICD-10
F33,Recurrent depressive disorder,mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,F33,diagnostic,"","","",2,ICD-10
F330,"Recurrent depressive disorder, current episode mild",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,F330,diagnostic,"","","",2,ICD-10
F331,"Recurrent depressive disorder, current episode moderate",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,F331,diagnostic,"","","",2,ICD-10
F333,"Recurrent depressive disorder, current episode severe with psychotic symptoms",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,F333,diagnostic,"","","",2,ICD-10
F332,"Recurrent depressive disorder, current episode severe without psychotic symptoms",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,F332,diagnostic,"","","",2,ICD-10
F334,"Recurrent depressive disorder, currently in remission",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,F334,diagnostic,"","","",2,ICD-10
F339,"Recurrent depressive disorder, unspecified",mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,F339,diagnostic,"","","",2,ICD-10
F323,Severe depressive episode with psychotic symptoms,mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,F323,diagnostic,"","","",2,ICD-10
F322,Severe depressive episode without psychotic symptoms,mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,F322,diagnostic,"","","",2,ICD-10
F39,Unspecified mood [affective] disorder,mMHP1,Depression,Depression incl. antidepressants,Common mental health problems,mMHPs,F39,diagnostic,"","","",2,ICD-10
F53,"Mental and behavioural disorders associated with the puerperium, not elsewhere classified",mMHP10,Puerperal mental disorder NOS,Puerperal mental health problem NOS,Common mental health problems,mMHPs,F53,"","","","",2,ICD-10
F530,"Mild mental and behavioural disorders associated with the puerperium, not elsewhere classified",mMHP10,Puerperal mental disorder NOS,Puerperal mental health problem NOS,Common mental health problems,mMHPs,F530,"","","","",2,ICD-10
F538,"Other mental and behavioural disorders associated with the puerperium, not elsewhere classified",mMHP10,Puerperal mental disorder NOS,Puerperal mental health problem NOS,Common mental health problems,mMHPs,F538,"","","","",2,ICD-10
F539,"Puerperal mental disorder, unspecified",mMHP10,Puerperal mental disorder NOS,Puerperal mental health problem NOS,Common mental health problems,mMHPs,F539,"","","","",2,ICD-10
F531,"Severe mental and behavioural disorders associated with the puerperium, not elsewhere classified",mMHP10,Puerperal mental disorder NOS,Puerperal mental health problem NOS,Common mental health problems,mMHPs,F531,"","","","",2,ICD-10
R630,Anorexia,mMHP11,Anorexia nervosa,Anorexia nervosa,Eating disorders,mMHPs,R630,"","","","",2,ICD-10
F500,Anorexia nervosa,mMHP11,Anorexia nervosa,Anorexia nervosa,Eating disorders,mMHPs,F500,"","","","",2,ICD-10
F501,Atypical anorexia nervosa,mMHP11,Anorexia nervosa,Anorexia nervosa,Eating disorders,mMHPs,F501,"","","","",2,ICD-10
F503,Atypical bulimia nervosa,mMHP12,Bulimia,Eating disorders NOS (incl. Bulimia),Eating disorders,mMHPs,F503,"","","","",2,ICD-10
F502,Bulimia nervosa,mMHP12,Bulimia,Eating disorders NOS (incl. Bulimia),Eating disorders,mMHPs,F502,"","","","",2,ICD-10
F503,Atypical bulimia nervosa,mMHP12,Eating disorder,Eating disorders NOS (incl. Bulimia),Eating disorders,mMHPs,F503,"","","","",2,ICD-10
F509,"Eating disorder, unspecified",mMHP12,Eating disorder,Eating disorders NOS (incl. Bulimia),Eating disorders,mMHPs,F509,"","","","",2,ICD-10
F50,Eating disorders,mMHP12,Eating disorder,Eating disorders NOS (incl. Bulimia),Eating disorders,mMHPs,F50,"","","","",2,ICD-10
F982,Feeding disorder of infancy and childhood,mMHP12,Eating disorder,Eating disorders NOS (incl. Bulimia),Eating disorders,mMHPs,F982,"","","","",2,ICD-10
F508,Other eating disorders,mMHP12,Eating disorder,Eating disorders NOS (incl. Bulimia),Eating disorders,mMHPs,F508,"","","","",2,ICD-10
F504,Overeating associated with other psychological disturbances,mMHP12,Eating disorder,Eating disorders NOS (incl. Bulimia),Eating disorders,mMHPs,F504,"","","","",2,ICD-10
F983,Pica of infancy and childhood,mMHP12,Eating disorder,Eating disorders NOS (incl. Bulimia),Eating disorders,mMHPs,F983,"","","","",2,ICD-10
F505,Vomiting associated with other psychological disturbances,mMHP12,Eating disorder,Eating disorders NOS (incl. Bulimia),Eating disorders,mMHPs,F505,"","","","",2,ICD-10
F845,Asperger syndrome,mMHP17,Autism spectrum disorder,Neurodevelopmental conditions and conduct disorders,Neurodevelopmental disorders,mMHPs,F845,"","","","",2,ICD-10
